Číslo obce,Název obce,Voliči v seznamu,Vydané obálky,Platné hlasy,Občanská demokratická strana (počet hlasů),Řád národa - Vlastenecká unie (počet hlasů),CESTA ODPOVĚDNÉ SPOLEČNOSTI (počet hlasů),Česká str.sociálně demokrat. (počet hlasů),Radostné Česko (počet hlasů),STAROSTOVÉ A NEZÁVISLÍ (počet hlasů),Komunistická str.Čech a Moravy (počet hlasů),Strana zelených (počet hlasů),"ROZUMNÍ-stop migraci,diktát.EU (počet hlasů)",Strana svobodných občanů (počet hlasů),Blok proti islam.-Obran.domova (počet hlasů),Občanská demokratická aliance (počet hlasů),Česká pirátská strana (počet hlasů),Referendum o Evropské unii (počet hlasů),TOP 09 (počet hlasů),ANO 2011 (počet hlasů),Dobrá volba 2016 (počet hlasů),SPR-Republ.str.Čsl. M.Sládka (počet hlasů),Křesť.demokr.unie-Čs.str.lid. (počet hlasů),Česká strana národně sociální (počet hlasů),REALISTÉ (počet hlasů),SPORTOVCI (počet hlasů),Dělnic.str.sociální spravedl. (počet hlasů),Svob.a př.dem.-T.Okamura (SPD) (počet hlasů),Strana Práv Občanů (počet hlasů),- (počet hlasů)
536547,Přechovice,95,53,53,11,0,0,2,0,1,6,1,0,1,0,0,6,0,6,9,0,0,8,0,0,0,0,2,0,-
551643,Přešťovice,363,231,228,31,1,0,10,2,8,14,0,2,4,0,0,29,0,12,78,0,0,12,0,0,0,1,24,0,-
536423,Radějovice,36,27,27,3,0,0,1,0,0,3,0,2,1,0,1,0,0,0,4,0,0,4,0,0,0,0,5,3,-
551660,Radomyšl,1 020,660,660,58,4,0,47,2,29,56,7,6,15,0,1,43,1,23,205,0,1,81,0,1,2,2,76,0,-
551678,Radošovice,501,346,344,29,0,0,23,0,14,27,5,1,6,0,0,51,0,3,113,0,1,26,0,3,1,1,40,0,-
536865,Rovná,192,125,125,23,0,0,4,0,11,10,1,1,0,0,1,12,0,8,32,1,0,5,0,2,0,0,14,0,-
536849,Řepice,331,221,219,34,0,1,13,1,16,19,5,2,0,0,1,25,1,10,55,0,0,15,0,1,0,1,16,3,-
551716,Sedlice,1 006,586,585,30,1,1,42,2,52,51,6,4,8,0,0,51,0,32,203,1,4,46,0,6,1,0,43,1,-
598909,Skály,61,53,53,9,0,0,7,0,1,6,1,1,1,0,0,3,0,3,12,0,0,1,0,0,0,0,8,0,-
551741,Skočice,179,105,105,10,0,0,8,1,2,16,1,1,0,0,0,9,0,5,36,1,0,6,0,0,1,1,7,0,-
536776,Slaník,124,77,77,6,0,0,5,0,3,3,0,1,2,0,0,1,2,1,34,0,0,4,0,0,0,0,15,0,-
551759,Sousedovice,216,135,135,10,4,0,3,0,3,10,0,0,5,1,0,16,0,3,50,0,0,12,0,0,0,0,18,0,-
530034,Stožice,268,151,151,20,1,0,9,0,5,12,4,0,4,0,0,25,0,4,46,0,0,7,0,0,1,2,11,0,-
550787,Strakonice,18 110,10 952,10 892,1 199,26,5,877,10,320,899,112,80,142,3,22,1 199,21,544,3 545,6,19,446,5,157,37,21,1 156,41,-
551775,Strašice,149,80,80,2,0,0,10,1,2,4,0,1,1,0,0,5,0,3,42,0,0,2,0,0,0,0,7,0,-
536784,Strunkovice nad Volyňkou,101,69,69,12,0,0,11,0,0,7,0,0,1,1,0,7,0,2,16,0,0,2,1,1,0,1,7,0,-
551791,Střelské Hoštice,691,390,389,51,0,0,33,0,16,41,3,6,1,1,0,42,0,12,112,0,0,17,0,0,0,5,46,3,-
551830,Škvořetice,250,138,138,15,0,0,9,0,7,20,3,1,2,0,1,13,0,5,41,0,1,6,0,1,0,0,13,0,-
536920,Štěchovice,182,107,106,4,0,0,13,0,4,20,0,1,0,0,0,6,0,1,39,0,0,2,1,0,1,1,13,0,-
551856,Štěkeň,729,425,422,67,2,0,32,0,19,29,2,4,5,0,3,43,0,12,136,0,0,19,0,4,0,0,45,0,-
536598,Tchořovice,193,137,137,13,0,0,8,0,6,12,0,0,1,0,0,16,0,6,42,0,1,12,0,3,0,0,16,1,-
536512,Truskovice,155,86,85,8,0,0,6,1,4,6,2,0,1,0,1,6,0,6,23,1,0,3,0,7,0,0,10,0,-
551899,Třebohostice,246,181,181,12,0,0,15,0,16,14,1,2,0,0,0,12,0,2,58,0,1,28,0,0,0,1,19,0,-
536679,Třešovice,66,58,58,7,0,0,4,0,2,5,1,0,0,0,0,8,1,0,14,0,0,5,0,1,0,0,10,0,-
536695,Úlehle,80,61,61,8,0,0,6,0,1,8,0,0,1,0,0,9,0,3,17,0,0,3,0,0,0,0,5,0,-
563951,Únice,52,34,33,5,0,0,2,0,1,1,0,2,1,0,0,7,0,0,9,0,0,0,0,0,0,0,5,0,-
551937,Uzenice,109,75,75,5,0,0,4,0,2,4,0,0,0,0,2,15,0,6,23,0,0,6,0,2,0,0,6,0,-
536890,Uzeničky,107,73,73,3,1,0,9,0,0,12,0,3,2,0,1,8,0,1,20,0,0,7,0,0,0,0,6,0,-
536504,Vacovice,48,30,30,3,0,0,1,0,0,2,0,0,0,0,0,1,0,1,14,0,0,5,0,2,0,0,1,0,-
536741,Velká Turná,131,93,93,11,0,0,8,0,3,3,0,0,0,0,0,8,0,2,37,0,0,10,0,0,0,0,11,0,-
551953,Vodňany,5 295,3 146,3 132,429,7,6,240,4,134,267,34,27,35,0,7,289,2,175,966,3,4,194,0,23,9,3,267,7,-
551961,Volenice,434,276,274,19,1,0,12,0,8,43,8,6,1,0,0,24,0,13,81,0,0,17,1,4,0,1,33,2,-
551970,Volyně,2 432,1 522,1 512,202,0,2,121,1,108,138,17,5,10,0,1,153,4,67,406,0,2,59,0,10,6,7,190,3,-
551988,Záboří,268,145,145,4,1,0,20,0,4,9,2,5,2,5,0,17,0,8,51,0,2,3,0,0,0,1,11,0,-
536482,Zahorčice,54,23,23,0,0,0,1,0,1,10,0,0,0,0,0,0,0,0,4,0,0,3,0,0,0,0,4,0,-
536873,Zvotoky,58,40,40,3,0,0,2,0,0,3,2,1,0,0,0,6,0,2,11,0,0,2,0,0,0,0,6,2,-
